filename,heuristic,num_vars,num_clauses,lower_bound,upper_bound,clingo_sec,bounds_present,num_scc,num_wcc,num_levels,phase,wall_ms,gpu_ms,used_bytes,free_bytes,total_bytes,num_loops,num_assignments
instances/ratio_1000/instance_500v0_0.70r2.cnf,all,500,350,235,235,0.03,1,1000,329,9,heuristic4,642.024,642.037,112132096,15530196992,15642329088,67,238
instances/ratio_1000/instance_500v0_0.70r2.cnf,all,500,350,235,235,0.03,1,1000,329,9,cleanup_device,0.0400391,0.039808,112132096,15530196992,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.70r2.cnf,all,500,350,235,235,0.03,1,1000,329,9,total,679.096,-1,112132096,15530196992,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,read_instance,0.185059,-1,107937792,15534391296,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,alloc_graph,0.179443,0.16384,110034944,15532294144,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,scc,3.79956,3.79978,112132096,15530196992,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,topo_sort,0.212646,0.212032,112132096,15530196992,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,backbone,5.15723,5.1631,112132096,15530196992,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,wcc,0.250732,0.251584,112132096,15530196992,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,wcc_grouped,0.404053,0.404768,112132096,15530196992,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,heuristic1,10.6416,10.6405,112132096,15530196992,15642329088,114,252
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,heuristic2,7.49121,7.49072,112132096,15530196992,15642329088,95,232
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,heuristic3,11.7246,11.7229,112132096,15530196992,15642329088,100,232
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,heuristic4,956.949,956.968,112132096,15530196992,15642329088,95,227
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,cleanup_device,0.0400391,0.039872,112132096,15530196992,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.80r3.cnf,all,500,400,211,211,0.03,1,1000,259,7,total,997.691,-1,112132096,15530196992,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.90r4.cnf,all,500,450,201,201,0.03,1,1000,224,10,read_instance,0.189941,-1,107937792,15534391296,15642329088,-1,-1
instances/ratio_1000/instance_500v0_0.90r4.cnf,all,500,450,201,201,0.03,1,1000,224,10,alloc_graph,0.162842,0.149152,110034944,15532294144,15642329088,-1,-1
