filename,heuristic,num_vars,num_clauses,lower_bound,upper_bound,bounds_present,num_scc,num_wcc,num_levels,phase,wall_ms,gpu_ms,used_bytes,free_bytes,total_bytes,num_loops,num_assignments
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,alloc_graph,0.170166,0.157056,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,scc,3.85913,3.85904,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,topo_sort,0.209961,0.209024,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,backbone,5.71973,5.72346,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,wcc,0.208496,0.208416,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,wcc_grouped,0.377441,0.377344,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,heuristic1,3.56592,3.5655,112132096,15530196992,15642329088,27,51
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,heuristic2,1.8938,1.89274,112132096,15530196992,15642329088,23,47
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,heuristic3,5.70898,5.70838,112132096,15530196992,15642329088,24,48
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,heuristic4,210.21,210.215,112132096,15530196992,15642329088,20,44
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,cleanup_device,0.0429688,0.042592,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.80r3.cnf,all,100,80,-1,-1,0,200,52,8,total,232.696,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,read_instance,0.0949707,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,alloc_graph,0.179932,0.165888,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,scc,3.99292,3.99402,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,topo_sort,0.225098,0.224928,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,backbone,5.74438,5.75104,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,wcc,0.231201,0.231168,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,wcc_grouped,0.407227,0.407552,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,heuristic1,3.68823,3.68685,112132096,15530196992,15642329088,28,48
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,heuristic2,1.97559,1.97402,112132096,15530196992,15642329088,24,44
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,heuristic3,4.96826,4.96755,112132096,15530196992,15642329088,18,38
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,heuristic4,203.318,203.322,112132096,15530196992,15642329088,18,38
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,cleanup_device,0.0449219,0.044512,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_0.90r4.cnf,all,100,90,-1,-1,0,200,44,8,total,225.46,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,read_instance,0.0942383,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,alloc_graph,0.165039,0.151552,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,scc,3.99365,3.99398,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,topo_sort,0.20459,0.20496,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,backbone,5.66748,5.67101,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,wcc,0.226074,0.225888,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,wcc_grouped,0.375,0.37488,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,heuristic1,2.46143,2.4599,112132096,15530196992,15642329088,26,47
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,heuristic2,1.91528,1.91338,112132096,15530196992,15642329088,23,41
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,heuristic3,5.33887,5.33808,112132096,15530196992,15642329088,20,38
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,heuristic4,214.838,214.842,112132096,15530196992,15642329088,20,38
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,cleanup_device,0.0449219,0.04432,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.00r5.cnf,all,100,100,-1,-1,0,200,38,6,total,235.919,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,read_instance,0.102539,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,alloc_graph,0.16333,0.150688,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,scc,3.89551,3.89667,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,topo_sort,0.191895,0.191168,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,backbone,5.79932,5.80586,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,wcc,0.211182,0.210944,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,wcc_grouped,0.381104,0.381216,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,heuristic1,2.60278,2.60202,112132096,15530196992,15642329088,28,42
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,heuristic2,1.84619,1.84451,112132096,15530196992,15642329088,21,35
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,heuristic3,5.53003,5.52966,112132096,15530196992,15642329088,23,37
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,heuristic4,229.563,229.568,112132096,15530196992,15642329088,24,38
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,cleanup_device,0.046875,0.046432,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.10r6.cnf,all,100,110,-1,-1,0,200,32,7,total,250.926,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,read_instance,0.105713,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,alloc_graph,0.203857,0.183904,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,scc,3.89355,3.89338,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,topo_sort,0.177979,0.176896,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,backbone,5.37329,5.37862,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,wcc,0.204834,0.20464,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,wcc_grouped,0.375,0.374784,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,heuristic1,2.70557,2.70461,112132096,15530196992,15642329088,29,42
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,heuristic2,1.71436,1.71219,112132096,15530196992,15642329088,20,33
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,heuristic3,5.68848,5.68765,112132096,15530196992,15642329088,25,38
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,heuristic4,218.836,218.841,112132096,15530196992,15642329088,22,35
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,cleanup_device,0.0437012,0.043392,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.20r7.cnf,all,100,120,-1,-1,0,200,30,6,total,239.916,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,read_instance,0.10083,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,alloc_graph,0.156494,0.14336,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,scc,4.0166,4.01802,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,topo_sort,0.273193,0.272,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,backbone,5.68921,5.7113,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,wcc,0.208008,0.207648,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,wcc_grouped,0.361328,0.360576,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,heuristic1,2.76343,2.76221,112132096,15530196992,15642329088,28,36
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,heuristic2,2.04102,2.0401,112132096,15530196992,15642329088,22,30
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,heuristic3,5.24512,5.24384,112132096,15530196992,15642329088,23,31
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,heuristic4,212.271,212.276,112132096,15530196992,15642329088,19,27
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,cleanup_device,0.0437012,0.043872,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.30r8.cnf,all,100,130,-1,-1,0,200,20,11,total,233.803,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,read_instance,0.102295,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,alloc_graph,0.209229,0.19504,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,scc,3.84839,3.84957,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,topo_sort,0.220459,0.218688,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,backbone,5.55469,5.55862,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,wcc,0.212646,0.211424,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,wcc_grouped,0.387695,0.387136,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,heuristic1,2.59058,2.59014,112132096,15530196992,15642329088,27,35
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,heuristic2,1.71899,1.71699,112132096,15530196992,15642329088,19,27
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,heuristic3,5.33936,5.33898,112132096,15530196992,15642329088,18,26
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,heuristic4,205.388,205.392,112132096,15530196992,15642329088,18,26
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,cleanup_device,0.045166,0.044928,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.40r9.cnf,all,100,140,-1,-1,0,198,20,8,total,226.204,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,read_instance,0.102539,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,alloc_graph,0.182373,0.168544,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,scc,4.14209,4.1431,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,topo_sort,0.276855,0.27664,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,backbone,5.76636,5.77357,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,wcc,0.202881,0.202752,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,wcc_grouped,0.379639,0.379552,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,heuristic1,3.49097,3.48995,112132096,15530196992,15642329088,23,30
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,heuristic2,1.69336,1.69136,112132096,15530196992,15642329088,21,28
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,heuristic3,4.76172,4.76042,112132096,15530196992,15642329088,22,29
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,heuristic4,217.996,218,112132096,15530196992,15642329088,20,27
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,cleanup_device,0.0458984,0.045728,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.50r10.cnf,all,100,150,-1,-1,0,200,18,11,total,239.621,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,read_instance,0.115967,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,alloc_graph,0.175781,0.161216,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,scc,3.927,3.92806,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,topo_sort,0.30957,0.308736,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,backbone,5.76831,5.77459,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,wcc,0.200195,0.1992,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,wcc_grouped,0.375977,0.376,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,heuristic1,2.75537,2.7543,112132096,15530196992,15642329088,29,31
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,heuristic2,1.854,1.85283,112132096,15530196992,15642329088,22,24
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,heuristic3,5.16333,5.16301,112132096,15530196992,15642329088,18,20
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,heuristic4,210.557,210.561,112132096,15530196992,15642329088,18,20
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,cleanup_device,0.0463867,0.046112,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.60r11.cnf,all,100,160,-1,-1,0,200,8,12,total,231.817,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,read_instance,0.124023,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,alloc_graph,0.17627,0.1616,110034944,15532294144,15642329088,-1,-1
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,scc,4.00879,4.01126,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,topo_sort,0.388672,0.388288,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,backbone,5.78833,5.79328,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,wcc,0.195801,0.194592,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,wcc_grouped,0.376465,0.375744,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,heuristic1,2.19922,2.19974,112132096,15530196992,15642329088,21,26
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,heuristic2,1.61646,1.61469,112132096,15530196992,15642329088,18,23
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,heuristic3,4.82788,4.82614,112132096,15530196992,15642329088,18,23
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,heuristic4,209.628,209.633,112132096,15530196992,15642329088,18,23
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,cleanup_device,0.0473633,0.046912,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.70r12.cnf,all,100,170,-1,-1,0,196,14,18,total,229.94,-1,112132096,15530196992,15642329088,-1,-1
instances/grid/instance_100v0_1.80r13.cnf,all,100,180,-1,-1,0,200,8,10,read_instance,0.114746,-1,107937792,15534391296,15642329088,-1,-1
instances/grid/instance_100v0_1.80r13.cnf,all,100,180,-1,-1,0,200,8,10,alloc_graph,0.168701,0.155648,110034944,15532294144,15642329088,-1,-1
